sentence,correct_phonemes,incorrect_phonemes,incorrect_phonemes_list,per,has_loanword,duration_seconds,total_expected_phonemes,total_recognized_phonemes
Das Expertentreffen haben die beiden auch in Eigenregie organisiert.,39,14,"ʁ→ɾ, tʰ→t, -ə, ʁ→ɾ, aː→ɑː, -ə, iː→aɪ, aj→aɪ, ʁ→r, ɛ→eː, ɟ→ʒ, ɑ→a, ɪ→iː, s→z",0.2641509433962264,False,6.73828125,53,51
"Immer wenn Herr Fitzek durch diese Straßen geht, werden seine Leibwächter nervös.",42,16,"ɐ→ɜ, ʁ→ɾ, ə→ɛ, ʊ→uː, -ʁ, i→iː, -ə, s→z, e→eː, eː→ɛ, ɐ→ɾ, +ə, n̩→n, +t, ɐ→ɜ, ø→yː",0.2857142857142857,False,5.1484375,56,56
In der Ferne sieht man den Kühlturm des Steinkohlekraftwerks.,35,12,"eː→ɛ, ɐ→ɾ, cʰ→k, yː→uː, tʰ→t, ʊ→uː, ʁ→ɾ, ə→ɛ, aj→aɪ, kʰ→k, ʁ→ɾ, ʁ→ɾ",0.2553191489361702,False,4.0390625,47,47
Bei manchen Geburten braucht der Vater mehr medizinische Betreuung als die Mutter.,40,20,"x→ç, ʊ→uː, ʁ→r, -a, o→aʊ, eː→ɛ, ɐ→ɾ, aː→ɑː, ɐ→ɜ, ɐ→ɾ, i→iː, -t, s→ts, i→iː, ɾ→r, ɔ→aʊ, ø→ʊ, ʊ→ŋ, ŋ→k, ɐ→ɜ",0.3333333333333333,False,5.44921875,60,58
Ein bestimmtes Lebensmittel aus dem Kühlschrank scheint euch alle besonders zu interessieren.,51,22,"-ɛ, ɪ→aɪ, -m, +ə, m̩→n, l̩→ə, yː→uː, ʀ→r, -a, e→aɪ, -ɔ, ø→aʊ, -ɛ, ɾ→ɜ, -t, s→ts, -., ə→ɛ, -., ʁ→r, -., ʁ→r",0.3055555555555556,False,5.87109375,72,64
drehe,1,4,"d→t, ɾ→r, eː→e, +j",1.0,False,0.72998046875,4,5
"Kein Problem, ich werde meinen aktuellen Software Stand behalten.",42,10,"ɔ→oː, ə→eː, tʰ→t, ʊ→uː, +ə, n̩→n, a→ɛ, -ɽ, ə→ɾ, +h",0.2,True,5.05078125,50,51
Lohnt sich der ganze Aufwand bei der Vorbereitung?,28,11,"o→uː, eː→ɛ, ɐ→ɾ, -t, s→ts, ɐ→ɾ, ɐ→ɾ, ɾ→r, -ə, iː→aɪ, +k",0.2894736842105263,False,3.08984375,38,37
"Wie sich herausstellte, führte die Spur zu einem Einzelhaus in Ibbenbüren.",43,13,"ɾ→r, -a, o→aʊ, -l, j→y, -t, s→ts, -a, e→aɪ, aj→aɪ, ɛ→ə, j→uː, ɾ→r",0.23214285714285715,False,5.140625,56,52
Deshalb ist die nachhaltige Frage des Wirtschaftens und der Energiepolitik ein Schwerpunkt unserer HightechAgenda.,65,31,"+h, a→ɑː, ʀ→r, aː→ɑː, ə→ɛ, ʁ→ɾ, tʰ→t, eː→ɛ, ɐ→ɾ, eː→ɛ, +ɾ, ɟ→ɡ, pʰ→p, ɔ→o, ɪ→iː, tʰ→t, -ɛ, ɪ→aɪ, ɐ→ɾ, -k, -ɐ, ɐ→ə, -(, -e, n→r, )→ɜ, -(, -d, -e, -), ɑː→ɜ",0.32978723404255317,False,7.66015625,94,87
"Die Strömung ist so schwach, dass sie den Schwimmern nicht auffällt.",39,7,"øː→ø, -m, ɛ→ə, -ɾ, -a, o→aʊ, -l",0.15217391304347827,False,4.75,46,42
Herr Wegener tanzt auf zwei Hochzeiten.,22,9,"ʁ→ɾ, ɐ→ɜ, -t, -t, s→ts, -t, s→ts, -ə, iː→aɪ",0.2903225806451613,False,2.7890625,31,27
Den Termin hätte man sich ruhig mal merken können.,28,10,"ʁ→ɾ, ʁ→r, -., -ɪ, ç→ɡ, aː→a, ʁ→ɾ, +ə, ŋ→n, œ→ə",0.2702702702702703,False,3.5,37,36
Schließlich gelobt ein Vertreter der Stadt Besserung.,28,11,"ɔ→oː, -ɛ, ɪ→aɪ, ɛː→ɛ, ɐ→ɾ, ə→eː, ɐ→ɜ, eː→ɛ, ɐ→ɾ, ʀ→r, +k",0.2894736842105263,False,3.25,38,38
"Früher bin ich Business-Class geflogen, heute reicht es nur noch für die Holzklasse.",44,16,"ʁ→r, yː→y, ɐ→ɜ, uː→ɪ, i→ə, ɛ→ə, -s, a→ɑː, ɔ→aʊ, ɾ→r, -a, e→aɪ, eː→ɛ, ɐ→ɾ, yː→y, ɐ→ɾ",0.26666666666666666,True,4.98828125,60,58
Hand aufs Herz: Wann war das letzte Backup?,25,7,"ʁ→ɾ, t→ts, s→ts, aː→ɑː, ɐ→ɾ, a→ɛ, u→a",0.21875,False,3.380859375,32,32
Blöde Extra-Verifikation!,13,12,"+ə, l→n, øː→ø, -., ʁ→ɾ, f→v, ɛː→e, ɐ→r, i→iː, ɑ→a, t→ts, s→j",0.5,False,1.990234375,24,24
Einen seiner Kollegen haben sie eingebuchtet.,26,10,"-a, e→aɪ, +ɜ, ɐ→ɾ, ɔ→oː, -l, e→eː, aː→ɑː, -a, e→aɪ",0.2857142857142857,False,2.8203125,35,33
"Die Anfrage, zumindest im Vorprogramm der ""Turn-It-On-Again""-Welttournee aufzutreten, sei vom Genesis-Management konsequent unterbunden worden.",78,43,"-d, -t, s→ts, u→uː, oː→ɔ, ɐ→ɾ, ʁ→ɾ, ɔ→oː, ʁ→r, eː→ɛ, ɐ→ɾ, tʰ→t, -ʊ, ʁ→ɚ, +ɾ, a→ə, aj→ɛ, -tʰ, -ɛ, tʰ→t, ʊ→uː, ʁ→ɾ, eː→iː, -a, o→aʊ, -t, s→ts, uː→ʊ, ə→eː, -ɛ, ɪ→aɪ, v→f, oː→ɔ, ə→ɛ, eː→ə, ɑ→ɛ, ɑ→ɪ, ɡ→dʒ, -ə, ɛ→ə, +ə, e→ɪ, -u",0.36134453781512604,True,9.75,119,111
Zuerst sollten alle Beweise gesichert werden.,23,14,"-t, s→ts, u→uː, ɐ→ɾ, +ə, n̩→n, -a, e→aɪ, -ɛ, ɾ→ɜ, eː→ɛ, ɐ→ɾ, +ə, n̩→n",0.4,False,2.779296875,35,34
Dort drüben werden gerade zwei Plätze frei.,17,19,"ʁ→ɾ, ʁ→ɾ, yː→uː, +ə, m̩→n, eː→ɛ, ɐ→ɾ, +ə, n̩→n, ə→eː, ʁ→r, aː→a, -t, s→ts, -t, s→ts, ɾ→r, -a, e→aɪ",0.5588235294117647,False,2.939453125,34,33
Motorräder sind nicht ganz so anfällig für Aquaplaning wie Kraftwagen mit vier Rädern.,50,17,"tʰ→t, ʁ→r, eː→ɛ, ɐ→ɜ, -s, -l, ç→ɡ, ɐ→ɾ, a→ɑː, aː→ɑː, ɪ→ʊ, ɑ→ɑː, v→f, ɾ→r, ɛː→ɛ, ɛ→ə, -ɾ",0.2537313432835821,True,6.55078125,67,64
"Denn ich glaube, dass diese Berufe eine wirklich gute Chance haben, Menschen Wohlstand und Perspektiven in ihrem Berufsleben zu geben.",81,22,"-a, o→aʊ, i→iː, -ə, s→z, ɾ→r, ʁ→ɾ, e→ə, +ɔ, ː→ɾ, aː→ɑː, -z, ç→ʃ, o→oː, s→ʃ, f→v, ʁ→r, ɾ→r, ʊ→uː, e→eː, -t, s→ts",0.21568627450980393,True,9.5703125,102,99
"Sucht sie nach diesem Spruch nicht das Weite, ist sie wirklich an dir interessiert.",45,14,"ʊ→uː, aː→a, i→iː, -ə, s→z, ʁ→ɾ, χ→x, +t, ʁ→ɾ, ɐ→ɾ, ə→ɛ, +r, ʀ→ɛ, ɐ→ɾ",0.24561403508771928,False,5.12890625,57,58
"Die Europäische Kommission wird auch tätig, beobachtet so etwas sehr intensiv und redet auch mit Mitgliedstaaten, in denen solchen Tendenzen auftreten.",91,27,"ɔ→aɪ, ʁ→r, ɔ→oː, pʰ→p, eː→ɛ, -m, z→j, ʁ→ɾ, ɛː→ɛ, ç→k, e→eː, ɾ→r, -ɡ, d→t, +ts, +ʃ, +ɑː, aː→ɾ, t→k, x→ç, -n, e→ɛ, -t, s→ts, -a, o→aʊ, ə→eː",0.23478260869565218,False,10.453125,115,113
Da haben wir die Bescherung!,13,7,"+d, ː→ɑː, aː→ɑː, ɐ→ɾ, ɐ→eː, +r, +k",0.4117647058823529,False,1.580078125,17,20
Über die Effizienz von Zahnriemen und klassischer Kette wird heftig gestritten.,44,18,"yː→y, ɐ→ɜ, ɛ→eː, -f, i→iː, t→ts, s→j, -i, e→ɛ, -t, aː→ɑː, n→m, ʁ→r, -z, -ɐ, k→ɜ, ʁ→ɾ, ç→k",0.2903225806451613,False,5.0390625,62,57
Die können schließlich auch nicht gehackt werden.,27,5,"a→ɛ, eː→ɛ, ɐ→ɾ, +ə, n̩→n",0.16129032258064516,False,3.099609375,31,32
Nicht schlecht der Specht!,15,4,"+t, eː→ɛ, +ɾ, ɐ→ɾ",0.23529411764705882,False,1.580078125,17,19
Den Rest können Sie sich selbst zusammenreimen.,30,8,"ʁ→r, -t, s→ts, -m, ɛ→ə, ɾ→r, -a, e→aɪ",0.21052631578947367,False,3.130859375,38,35
Wie der Propeller eines Ahorns.,16,7,"eː→ɛ, ɐ→ɾ, oː→o, -l, ɐ→ə, +a, ɑː→h",0.3181818181818182,False,2.220703125,22,22
"Es ist eine wichtige Fähigkeit, sich an einfachen Dingen erfreuen zu können.",44,13,"eː→ɛ, +l, k→ç, -ə, iː→aɪ, -a, e→aɪ, ʁ→ɾ, ʁ→ɾ, ɔ→aʊ, -t, s→ts, œ→ə",0.23214285714285715,False,4.5703125,56,54
"Ist die Quantelung ein Hinweis darauf, dass wir in einer Simulation leben?",39,20,"+t, tʰ→t, -ɛ, ɪ→aɪ, -a, e→aɪ, a→ɑː, ɾ→r, -a, o→aʊ, ɐ→ɾ, -a, e→aɪ, -ɛː, ɐ→ɜ, i→iː, u→uː, ɑ→a, t→ts, s→j",0.3448275862068966,False,5.0,58,54
Wollen wir Sina einweihen?,16,2,"ɐ→ɾ, ɪ→iː",0.1111111111111111,False,1.669921875,18,18
Der Bus kam heute eine Stunde zu spät.,23,6,"eː→ɛ, ɐ→ɾ, ɔ→aʊ, -t, s→ts, ɛː→ɛ",0.20689655172413793,False,2.7890625,29,28
Natürlich erhebt die Liste keinen Anspruch auf Vollständigkeit.,40,10,"yː→y, ʁ→ɾ, -ɛː, ɐ→ɾ, ɛ→eː, v→f, -l, s→ʃ, -ə, iː→aɪ",0.2,False,3.91015625,50,47
"Schatz, ich glaube, ich habe das Internet gelöscht.",26,10,"a→ɛ, +ɾ, t→ts, s→ts, -a, o→aʊ, aː→ɑː, ɐ→ə, +ɾ, œ→ə",0.29411764705882354,True,3.330078125,34,35
Ist Common Voice zusammengebrochen?,14,16,"kʰ→k, ɔ→a, -j, ɔ→ə, ŋ→n, f→v, -oː, ɪ→aʊ, -t, s→ts, -m, ɛ→ə, ŋ→n, +ɡ, ɛ→ə, ʁ→ɾ",0.5517241379310345,False,2.26953125,29,26
Von dir lasse ich mir nicht den Mund verbieten.,29,6,"ɐ→ɾ, æ→ɾ, ɛː→ɛ, ɐ→ɾ, i→iː, -ə",0.17142857142857143,False,3.060546875,35,34
"Ein schrilles Auftreten ist praktisch Voraussetzung, um Aufmerksamkeit zu bekommen.",47,16,"-ɛ, ɪ→aɪ, ɾ→r, -l, -a, o→aʊ, ə→eː, o→ɔ, ʁ→r, ɛ→z, t→ɛ, s→ts, ʁ→ɾ, aː→a, -t, s→ts",0.25396825396825395,False,6.078125,63,59
"Ja, aber sicher ist sicher.",10,7,"ː→j, b→a, e→b, ɾ→ɜ, +ɜ, ɐ→ɾ, ɐ→ɜ",0.4375,False,2.259765625,16,17
Irgendwie bestätigen sich diese Klischees immer wieder.,28,14,"ɪ→iː, ɛ→ə, -j, -ə, s→ʃ, ɛː→ɛ, i→iː, -ə, s→z, ɪ→iː, -ə, ə→eː, ɐ→ɜ, ɐ→ɜ",0.3333333333333333,False,3.419921875,42,38
"Alle möchten alt werden, aber niemand will alt sein.",28,8,"œ→ɛ, eː→ɛ, ɐ→ɾ, n̩→ə, ɑː→n, b→a, e→b, ɾ→ɜ",0.2222222222222222,False,3.73046875,36,36
Bei ihrem ersten professionellen Fotoshooting war sie sehr aufgeregt.,31,22,"ʁ→r, ɐ→ɾ, +ə, n̩→n, ʁ→ɾ, ɪ→j, ɔ→oː, +ə, n̩→n, tʰ→t, ɔ→oː, -ɔ, oː→uː, tʰ→t, +k, aː→ɑː, ɐ→ɾ, e→eː, -a, o→aʊ, ɾ→r, ɛ→eː",0.44,True,5.0390625,50,51
"Wenn ich es dann noch nicht kapiert habe, darfst du mich als Nullchecker titulieren.",44,14,"eː→ɛ, ɑ→a, +h, aː→ɑː, ʃ→s, ː→uː, +t, x→ʃ, kʰ→k, ɐ→ɜ, i→iː, u→uː, ɾ→r, e→ə",0.25,False,5.1484375,56,58
"Eineiige Zwillinge sind genetisch gleich, haben aber unterschiedliche Fingerabdrücke.",46,20,"-a, e→aɪ, -a, e→aɪ, -t, s→ts, iː→ɪ, -l, e→eː, aː→ɑː, -e, ɾ→ɜ, -ɛ, -ɾ, z→ɜ, ç→ʃ, -e, ɾ→ɜ, b→p, +y",0.3076923076923077,False,5.44921875,65,58
"Mensch, schön habt ihr es hier!",13,5,"øː→yː, aː→a, ɐ→ɾ, eː→ɛ, ɐ→ɾ",0.2777777777777778,False,1.9599609375,18,18
Wir haben zu wenige Sprecherinnen.,21,8,"ɐ→ɾ, aː→ɑː, -t, s→ts, ɾ→r, e→ə, ɾ→r, -n",0.27586206896551724,False,4.16015625,29,27
Kann schon sein.,9,0,,0.0,False,1.08984375,9,9
"Als Bundeskanzlerin konnten Sie ja bereits an vielen sportlichen Großereignissen teilnehmen, beispielsweise der Fußball-Weltmeisterschaft.",76,37,"ts→s, ʁ→r, +t, n̩→ə, z→n, iː→z, ː→iː, b→j, ə→ɑː, a→b, e→ə, t→r, s→aɪ, v→f, eː→ɛ, ʁ→ɾ, -a, e→aɪ, e→eː, -ə, ɪ→aɪ, s→ʃ, -a, e→aɪ, eː→ɛ, ɐ→ɾ, ʊ→uː, -a, -e, -s, -t, -ɛ, ɾ→aɪ, s→ɜ, h→ʃ, -f, -t",0.33035714285714285,False,8.5,112,103
Er drehte am Regler und stellte seine Waffe von tödlich auf Betäubung.,40,11,"eː→ɛ, ɐ→ɾ, ɾ→r, e→eː, ɾ→r, ɛ→eː, ɐ→ə, -l, øː→ø, -ɔ, ø→aʊ",0.21568627450980393,False,4.75,51,49
"Vielleicht ahnt er schon, wer als nächstes dran ist.",26,8,"i→ɪ, ɑ→ɑː, eː→ɪ, ɐ→ɾ, ɐ→ɾ, ç→k, ɾ→r, ɑː→a",0.23529411764705882,False,3.609375,34,34
Über die Drogenfunde ist längst Gras gewachsen.,31,5,"yː→uː, ɐ→ɜ, ʁ→r, ʁ→ɾ, aː→a",0.1388888888888889,False,3.41015625,36,36
"Die schlimme Nachricht ist, dass die Softwarehersteller langsam darauf reagieren.",43,15,"-m, aː→ɑː, ʁ→r, z→s, eː→ɛ, ɐ→ɾ, ɐ→ɾ, ɐ→ə, aː→a, ɾ→r, -a, o→aʊ, ʁ→r, e→eː, ʁ→r",0.25862068965517243,False,5.4609375,58,56
Dabei kullerte der Massageball unter den Schrank.,23,13,"aː→ɑː, -l, ɛ→ə, -ɾ, eː→ɛ, ɐ→ɾ, s→z, aː→a, +ʒ, +ə, oː→a, ɐ→ɜ, ʀ→r",0.38235294117647056,False,3.509765625,34,34
Kanal docker hat zehn ungelesene Nachrichten,26,10,"a→ɑː, kʰ→k, ɐ→ɜ, -t, s→ts, ə→eː, s→z, aː→ɑː, -ʁ, +t",0.2857142857142857,False,4.01953125,35,34
"Wo Software ist, stecken auch Fehler drinnen.",24,9,"ɔ→oː, -u, z→s, a→ɛ, -ɽ, ə→ɾ, ɐ→ɜ, ɾ→r, -n",0.2727272727272727,True,2.900390625,33,30
"Mittelmeergrün,",11,1,yː→uː,0.08333333333333333,False,1.3798828125,12,12
Es gibt für jeden das passende gemeinnützige Projekt.,33,11,"eː→ɛ, ɐ→ɾ, +ə, n̩→n, -s, ɛ→ə, e→ə, -a, e→aɪ, t→y, s→ts",0.2558139534883721,True,3.369140625,43,42
Köche und Cuisine sind die Edeltropfen der Gaumenfreude.,31,13,"ɪ→k, z→v, n→z, ə→iː, +n, +t, ʁ→ɾ, +p, pf→f, eː→ɛ, ɐ→ɾ, ʁ→ɾ, ɔ→aʊ",0.3170731707317073,False,3.669921875,41,44
Das kann doch nicht die Lösung sein.,21,3,"-d, øː→yː, +k",0.13043478260869565,False,2.130859375,23,23
"Du hast das Recht auf freie Meinungsäußerung, aber nicht darauf, dass dir jemand zuhört.",48,19,"+d, ː→uː, +t, ʁ→r, -ə, -iː, j→aɪ, -ɔ, ø→oɪ, ʁ→r, ɑː→a, -e, ɾ→ɜ, ɾ→r, -a, o→aʊ, ɐ→ɾ, -t, s→ts",0.2923076923076923,False,6.21875,65,61
"Stellt euch vor, ihr wärt zwei Wochen lang ununterbrochen offline!",36,14,"-l, -ɔ, ø→aɪ, -ɐ, ɐ→ɾ, s→ts, +x, χ→ə, -ɛ, ɾ→ɜ, ʁ→ɾ, -f, ɪ→aɪ, -ə",0.2857142857142857,False,4.26953125,49,44
Nach der anstrengenden Krebstherapie musste sie erst mal eine rauchen.,40,14,"aː→ɑː, eː→ɛ, ɐ→ɾ, ɛ→ə, +ɾ, ʁ→r, ɛ→eː, ʁ→r, pʰ→p, +t, aː→a, ɾ→r, -a, o→aʊ",0.2692307692307692,False,4.71875,52,53
"Ergebt euch, ihr seid umzingelt!",14,9,"ɛː→ɛ, ɐ→ɾ, ə→iː, -ɔ, ø→oʊ, ɐ→ɾ, -t, s→ts, ɛ→ə",0.391304347826087,False,2.619140625,23,21
"Ich habe nicht damit gerechnet, dass er den Entschluss so übers Knie bricht.",45,9,"aː→ɑː, ɾ→r, eː→ɛ, ɐ→ɾ, -s, yː→y, -ɛ, ɾ→ɜ, ʁ→r",0.16666666666666666,False,6.01171875,54,52
"Nicht nur ein bisschen sauer, sie ist stinksauer!",26,6,"-ɐ, ɛ→ɾ, ɪ→aɪ, ç→j, ɐ→ɜ, ɐ→ɜ",0.1875,False,3.169921875,32,31
"Es wird höchstwahrscheinlich niemand kommen, um dich abzuholen.",37,11,"eː→ɛ, ʁ→ɾ, œ→ø, ç→k, ɑ→a, -z, x→ʃ, -ə, ɪ→aɪ, t→ts, -s",0.22916666666666666,False,3.689453125,48,45
Sie finden einen Online-Vogeltrainer als E-Learning-Tool.,32,11,"-a, e→aɪ, ɪ→aɪ, -ə, ɾ→r, ɛ→eː, eː→iː, -ɛ, aː→ɜː, ɐ→ɾ, tʰ→t",0.2558139534883721,True,3.94921875,43,40
Entity-Relationship-Diagramme ergänzen die Datenbankdokumentation.,38,21,"tʰ→t, ɪ→ə, ɪ→iː, ʁ→ɹ, ɛ→ɪ, a→eɪ, ts→ʃ, ɪ→ə, -ɔ, -s, ç→ʃ, ɪ→iː, ʁ→r, ɛː→ɛ, ɐ→ɾ, -t, aː→ɑː, tʰ→t, ɔ→oː, kʰ→k, tʰ→t",0.3559322033898305,False,4.98046875,59,56
Sie wollte schon immer mal an einem professionellen Fotoshooting teilnehmen.,38,17,"ɐ→ɜ, aː→ɑː, -a, e→aɪ, ʁ→ɾ, ɪ→j, ɔ→oː, +ə, n̩→n, tʰ→t, ɔ→oː, -ɔ, oː→uː, tʰ→t, -a, e→aɪ, e→eː",0.3148148148148148,True,5.05078125,54,52
Aber irgendwie ist das ja auch Werbung für uns.,28,9,"-e, ɾ→ɜ, ɛ→ə, -j, -ə, +j, ː→ɑː, +k, ɐ→ɾ",0.2571428571428571,False,3.380859375,35,34
"Sozial ist, was Menschen um Arbeit erleichtert.",22,15,"o→oː, -t, s→ts, i→iː, aː→ɑː, -z, ç→ʃ, ʁ→ɾ, ɛː→ɛ, ɐ→ɾ, -a, e→aɪ, -ɛ, -ɾ, t→ɜ",0.40540540540540543,False,3.33984375,37,32
Auf den Herdentrieb ist Verlass.,20,4,"eː→ɛ, ɐ→ɾ, ɛ→ə, ɐ→ɾ",0.16666666666666666,False,2.419921875,24,24
Auf Wunsch wird auch ein anonymes Begräbnis durchgeführt.,32,12,"+f, ʁ→ɾ, -ɛ, ɪ→aɪ, j→uː, ʀ→r, ɛː→ɛ, ʊ→uː, -t, s→ç, e→ə, j→uː",0.27906976744186046,False,3.55078125,43,42
"Sie ist eine Idee, die den Menschen etwas zutraut, die die Menschen befähigt, dass sie sich entsprechend ihren Leistungen und Fähigkeiten in die Gesellschaft einbringen.",95,32,"-z, -iː, i→iː, -z, ç→ʃ, -t, s→ts, -a, o→aʊ, -z, ç→ʃ, -ɛː, ɪ→ɛ, +s, ɛ→ə, i→iː, ɾ→r, -ə, ɪ→aɪ, k→ç, -ə, iː→aɪ, iː→ɛ, +ɾ, -l, -s, -t, -s, h→ʃ, -a, e→aɪ, ʁ→r",0.256,False,10.3671875,125,113
Mit solchem Gesindel muss ich mich Gott sei Dank nicht abgeben.,39,7,"x→ç, e→ə, -l, -ɪ, -ɛ, ɪ→aɪ, ə→eː",0.15217391304347827,False,4.171875,46,43
Als Zahnarzt muss man strahlend weiße Zähne haben.,28,12,"-t, s→ts, aː→ɑː, -ɐ, t→ɾ, s→ts, ɑ→ɑː, ɛ→ə, -t, s→ts, ɛː→ɛ, aː→ɑː",0.3,False,3.369140625,40,37
"Ich hätte geantwortet, dass ich sogar stereoskopisch träume.",34,11,"-t, v→f, o→oː, -a, ɽ→ɑː, ʃ→s, ʁ→r, eː→i, ɔ→oː, -ɔ, ø→aʊ",0.24444444444444444,False,4.1015625,45,42
Schon mal über eine duale Ausbildung nachgedacht?,26,9,"aː→ɑː, yː→y, ɐ→ɜ, u→uː, a→ɑː, -a, o→aʊ, a→ɑː, ç→x",0.2571428571428571,False,3.4296875,35,34
Dem obskuren Zwischenhändler traute sie von Anfang an nicht.,38,8,"ɐ→r, -t, s→ts, ɛ→ə, +h, ɐ→ɜ, a→r, o→aʊ",0.17777777777777778,False,4.80078125,45,45
Der Klügere gibt nach.,10,8,"eː→ɛ, +ɾ, ɐ→ɾ, yː→uː, ɐ→ə, +r, iː→ɪ, aː→ɑː",0.5,False,1.7099609375,16,18
"Sie musste sich den Satz gleich ein paarmal anhören, um sich zu versichern.",39,14,"-t, s→ts, -ɛ, ɪ→aɪ, pʰ→p, aː→ɑː, ɐ→ɾ, aː→a, øː→ø, ɾ→r, -t, s→ts, ɐ→ɾ, ɐ→ɜ",0.2641509433962264,False,4.921875,53,50
wer macht,6,1,ɐ→ɾ,0.14285714285714285,False,0.81005859375,7,7
Einige Mitglieder der Tippgemeinschaft fühlen sich hinters Licht geführt.,43,11,"-a, e→aɪ, ɐ→ɜ, eː→ɛ, ɐ→ɾ, tʰ→t, aj→aɪ, yː→uː, -ɛ, ɾ→ɜ, j→uː",0.2037037037037037,False,4.671875,54,52
Man muss keine langwierige Diät antreten.,26,6,"+s, ɐ→r, ɪ→iː, ʁ→ɾ, +ə, n̩→n",0.2,False,2.900390625,30,32
Zum Glück nicht.,9,3,"-t, s→ts, +y",0.2727272727272727,False,0.9501953125,11,11
Im Bett ging ihr alles noch mal durch den Kopf.,25,6,"ɐ→ɾ, aː→ɑː, ʊ→uː, -ʁ, -p, -f",0.1935483870967742,True,2.859375,31,28
Wie misst man das?,12,0,,0.0,False,1.3095703125,12,12
Ist da Ingwer drin?,8,7,"+d, ː→ɑː, ɐ→ɛ, +ɾ, d→t, +ə, ʁ→r",0.5833333333333334,False,1.3603515625,12,15
Wird das so eine Art Pyjama-Party?,19,8,"ʁ→ɾ, ʁ→ɾ, j→y, -d, ʒ→dʒ, aː→a, a→ɑː, j→iː",0.2962962962962963,True,2.890625,27,26
Ich kann dir meine Ratsche ausleihen.,18,4,"ɐ→ɾ, ɾ→r, tʃ→ʃ, -ə",0.18181818181818182,False,2.220703125,22,21
Doch nicht diese!,9,3,"i→iː, -ə, s→z",0.25,False,0.990234375,12,11
Haben Sie eine Kundenkarte?,15,7,"aː→ɑː, kʰ→k, +ə, kʰ→k, a→ɑː, ʁ→ɾ, tʰ→t",0.3333333333333333,False,1.83984375,21,22
"Gott sei Dank, es ist Freitag!",15,7,"-ɛ, ɪ→aɪ, eː→ɛ, ɾ→r, -a, e→aɪ, ɑ→ɑː",0.3181818181818182,False,2.140625,22,20
"Ich wünsche mir, dass mit meiner Stimme kein Blödsinn angestellt wird.",41,9,"n→y, z→n, ç→ʃ, æ→ɾ, ɐ→ɜ, -m, øː→yː, -l, ʁ→ɾ",0.18,False,4.21875,50,48
"Nein, dieser Text ist nicht frei von Vorurteilen.",30,8,"-ə, ʁ→ɜ, -a, e→aɪ, ɐ→ɾ, ʊ→uː, -ə, iː→aɪ",0.21052631578947367,False,3.470703125,38,35
Wir müssen zuerst die Echtheit überprüfen.,17,15,"ɐ→ɾ, +y, -t, s→ts, u→uː, eː→ɛ, ɐ→ɾ, ə→h, iː→aɪ, yː→y, ɐ→ɜ, ʀ→ɾ, yː→uː, +ə, ̩→n",0.5,False,2.94921875,30,31
Küche ausgeschaltet.,10,4,"ç→y, ə→ç, a→ə, o→aʊ",0.2857142857142857,False,2.5390625,14,14
"Juhu, Papa ist schon zu Hause!",17,6,"ʊ→uː, +t, -t, s→ts, -a, o→aʊ",0.2727272727272727,False,2.330078125,22,21
Über den Sinn des Todes existiert jedoch kein Wikipedia-Artikel.,36,15,"yː→y, ɐ→ɜ, ə→ɛ, e→ɛ, s→z, +t, ɪ→iː, cʰ→k, ɪ→iː, pʰ→p, ɛ→eː, a→ɜ, ʁ→ɾ, +ə, l̩→l",0.30612244897959184,False,4.71875,49,51
Sie liest mir jeden Wunsch von den Augen ab.,25,5,"æ→ɾ, +ə, n̩→n, +ə, ŋ̩→n",0.17857142857142858,False,2.759765625,28,30
Um welche Uhrzeit?,7,7,"-., ç→tʃ, uː→w, ɐ→ɪ, -t, s→ts, t→d",0.5,False,1.4599609375,14,12
Mit dem Aschermittwoch fängt die vierzigtägige Fastenzeit an.,36,12,"-ɛ, ɾ→ɜ, -t, ɐ→ɾ, tʰ→t, eː→ɛ, ɟ→ɡ, e→ə, -t, s→ts, -ə, iː→aɪ",0.25,False,4.2109375,48,44
Niemand will es gewesen sein.,18,3,"eː→ɛ, +ə, n̩→n",0.15,False,2.0,20,21
Firma Götz sucht noch nach einer patentfreien Alternative.,30,15,"ʁ→ɾ, ɟ→ɡ, œ→ə, ʊ→uː, aː→a, -a, e→aɪ, ɛː→ɜ, ɐ→ɾ, pʰ→p, tʰ→t, ʁ→r, aj→aɪ, ɑ→a, f→v",0.3333333333333333,False,4.25,45,44
Anschnallen nicht vergessen!,19,1,ɐ→ɾ,0.05,False,1.3798828125,20,20
Ein bisschen Gewalt muss jede Tastatur ertragen.,32,7,"-ɛ, ɪ→aɪ, +ɾ, ɐ→ɾ, ʁ→ɾ, ʁ→ɾ, aː→ɑː",0.18421052631578946,False,3.23046875,38,38
Trotzdem hätte niemand Anteile verloren.,26,7,"-t, ə→eː, -ə, iː→aɪ, ɛː→ɛ, ɐ→ɾ, ɾ→r",0.21212121212121213,False,2.779296875,33,31
"Okay, ich möchte hier mal was klarstellen.",22,8,"o→oː, œ→ɛ, -., tʰ→t, ɐ→ɾ, aː→ɑː, aː→ɑː, ɐ→ɾ",0.26666666666666666,True,2.80078125,30,29
"Wenn Schäden entstehen, sind sie langfristig.",30,3,"ɛː→ɛ, +r, ç→k",0.09375,False,2.609375,32,33
Die Lache von der ist ansteckend.,21,4,"χ→x, +ɾ, ɐ→ɾ, ɛ→ə",0.16666666666666666,False,2.189453125,24,25
